year,dimd,sex,cod,<1,01-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+  
2016,3,Male,12 Ischaemic heart disease,0,0,0,0,0,0,2,8,18,41,92,157,180,279,441,449,488,534,464,312
2016,3,Male,13 Stroke (cerebrovascular),0,0,0,2,0,1,3,6,4,16,27,30,35,69,83,136,189,248,220,185
2016,3,Male,14 Other circulatory,1,3,0,0,0,7,2,13,12,30,37,68,91,108,157,199,257,298,273,305
2016,3,Male,15 Intentional injuries,1,0,0,0,8,27,27,41,38,24,46,46,30,14,9,10,9,3,3,4
2016,3,Male,16 Unintentional injuries,2,4,0,4,12,32,23,26,28,29,36,45,21,34,35,43,43,83,73,73
2016,3,Male,17 Dementia and Alzheimers,0,0,0,0,0,0,0,0,0,1,0,0,5,9,31,77,240,412,579,555
2016,3,Male,18 All other causes,42,22,7,4,14,41,64,89,107,147,173,205,239,276,321,317,395,457,459,445
2016,3,Male,19 Neonatal,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,3,Female,01 Malignant neoplasm of liver and intrahepatic bile ducts,0,0,0,0,0,0,0,0,2,0,4,12,3,12,11,24,19,26,19,18
2016,3,Female,"02 Malignant neoplasm of colon, rectosigmoid junction and rectum (i.e.colorectal)",0,0,0,0,0,0,2,1,7,8,5,19,28,29,49,54,84,94,82,70
2016,3,Female,03 Malignant neoplasms of digestive organs except liver and intrahepatic bile ducts,0,0,0,0,0,1,2,4,3,2,11,35,60,65,76,97,160,144,144,101
2016,3,Female,"04 Malignant neoplasms of lymphoid, haematopoietic and related tissue",0,0,0,0,0,1,5,5,3,2,12,11,20,23,31,48,68,90,65,49
2016,3,Female,"05 Malignant neoplasm of trachea, bronchus and lung",0,0,0,0,0,0,0,2,0,5,20,59,92,148,217,246,237,209,164,91
2016,3,Female,07 Malignant neoplasm of breast,0,0,0,0,0,1,2,6,19,23,41,78,61,58,72,85,73,113,93,91
2016,3,Female,08 Cervical Cancer,0,0,0,0,0,0,1,1,5,6,2,7,3,5,10,6,6,11,6,2
2016,3,Female,09 All other cancers (C00-D48),0,3,3,2,1,2,7,17,12,18,36,81,110,156,202,239,263,309,256,208
2016,3,Female,10 Diseases of the respiratory system,4,6,1,1,1,1,3,6,7,12,19,45,81,130,219,323,435,608,740,930
2016,3,Female,11 Diabetes,0,0,0,0,2,1,0,6,3,2,5,8,2,8,20,24,27,56,54,67
2016,3,Female,12 Ischaemic heart disease,0,0,0,0,0,0,0,1,4,12,18,37,58,91,132,197,263,386,462,494
2016,3,Female,13 Stroke (cerebrovascular),1,0,0,1,0,2,2,5,5,9,16,24,30,50,83,104,177,256,393,511
2016,3,Female,14 Other circulatory,0,1,1,0,3,6,2,5,11,13,25,23,44,57,104,145,207,352,485,741
2016,3,Female,15 Intentional injuries,0,0,0,1,6,3,6,9,8,12,8,19,8,4,5,4,1,1,0,1
2016,3,Female,16 Unintentional injuries,0,4,0,1,6,3,6,6,4,11,13,9,17,23,24,28,47,66,83,140
2016,3,Female,17 Dementia and Alzheimers,0,0,0,0,0,0,0,0,0,0,0,0,6,14,35,116,279,595,"1,108","1,736"
2016,3,Female,18 All other causes,43,14,6,7,8,26,28,36,57,76,107,120,182,153,230,253,368,535,667,"1,138"
2016,3,Female,19 Neonatal,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,4,Male,01 Malignant neoplasm of liver and intrahepatic bile ducts,0,0,0,0,0,0,1,0,0,0,8,6,26,37,46,44,56,46,24,12
2016,4,Male,"02 Malignant neoplasm of colon, rectosigmoid junction and rectum (i.e.colorectal)",0,0,0,0,0,0,0,6,3,6,6,24,38,54,77,105,122,120,88,44
2016,4,Male,03 Malignant neoplasms of digestive organs except liver and intrahepatic bile ducts,0,0,0,0,0,0,0,3,6,9,36,53,81,128,201,199,190,184,112,79
2016,4,Male,"04 Malignant neoplasms of lymphoid, haematopoietic and related tissue",0,0,0,0,0,0,1,7,4,4,7,13,26,44,71,107,106,122,91,45
2016,4,Male,"05 Malignant neoplasm of trachea, bronchus and lung",0,0,0,0,0,0,0,1,4,8,17,41,97,148,248,306,303,253,172,68
2016,4,Male,06 Malignant neoplasm of prostate,0,0,0,0,0,0,0,0,0,0,0,4,13,34,60,112,155,208,220,132
2016,4,Male,07 Malignant neoplasm of breast,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,0,0,0,0,0
2016,4,Male,09 All other cancers (C00-D48),0,3,3,4,4,2,10,7,13,20,42,74,110,165,208,239,274,288,239,152
2016,4,Male,10 Diseases of the respiratory system,5,1,2,1,3,1,2,2,6,19,32,55,63,128,261,374,481,589,668,619
2016,4,Male,11 Diabetes,0,0,0,0,1,1,3,0,2,3,11,7,12,11,18,28,56,52,47,37
2016,4,Male,12 Ischaemic heart disease,1,0,0,0,0,1,1,5,14,27,75,125,189,279,330,421,513,543,515,385
2016,4,Male,13 Stroke (cerebrovascular),0,0,0,0,0,1,1,5,4,7,19,24,31,63,91,141,179,238,258,218
2016,4,Male,14 Other circulatory,1,1,0,1,4,5,4,10,11,23,41,59,64,92,147,190,250,314,330,299
2016,4,Male,15 Intentional injuries,1,1,2,0,10,24,34,38,30,41,42,30,36,21,13,12,6,4,5,2
2016,4,Male,16 Unintentional injuries,1,7,5,3,12,23,33,27,29,29,22,29,25,33,41,48,63,86,101,90
2016,4,Male,17 Dementia and Alzheimers,0,0,0,0,0,0,0,0,0,0,0,2,2,3,45,76,238,443,602,542
2016,4,Male,18 All other causes,28,9,6,4,13,23,42,58,79,136,153,182,199,242,260,297,408,474,527,452
2016,4,Male,19 Neonatal,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,4,Female,01 Malignant neoplasm of liver and intrahepatic bile ducts,0,1,0,0,0,0,0,1,0,2,0,7,12,15,18,29,18,34,23,12
2016,4,Female,"02 Malignant neoplasm of colon, rectosigmoid junction and rectum (i.e.colorectal)",0,0,0,0,0,0,1,3,2,1,10,19,41,35,65,66,83,105,111,79
2016,4,Female,03 Malignant neoplasms of digestive organs except liver and intrahepatic bile ducts,0,0,0,0,0,0,1,3,2,9,14,32,47,65,112,117,141,162,145,104
2016,4,Female,"04 Malignant neoplasms of lymphoid, haematopoietic and related tissue",0,0,1,0,0,0,1,2,4,5,3,7,17,26,42,59,90,81,75,54
2016,4,Female,"05 Malignant neoplasm of trachea, bronchus and lung",0,0,0,0,0,0,1,1,2,4,17,35,77,110,225,237,242,191,166,96
2016,4,Female,07 Malignant neoplasm of breast,0,0,0,0,0,0,3,7,20,31,43,65,57,74,95,99,117,125,112,127
2016,4,Female,08 Cervical Cancer,0,0,0,0,0,0,3,1,6,8,6,7,8,2,6,8,8,10,6,2
2016,4,Female,09 All other cancers (C00-D48),1,2,1,2,6,5,6,8,12,28,41,71,99,146,208,241,282,297,283,215
2016,4,Female,10 Diseases of the respiratory system,2,3,0,4,1,3,4,6,8,14,17,31,54,109,235,314,435,572,722,"1,078"
2016,4,Female,11 Diabetes,0,0,0,0,0,0,0,0,2,2,5,4,11,7,15,24,42,56,57,75
2016,4,Female,12 Ischaemic heart disease,0,0,0,0,0,1,1,2,2,9,10,29,46,84,127,162,251,372,493,584
2016,4,Female,13 Stroke (cerebrovascular),0,0,1,0,0,0,0,3,3,10,4,24,35,52,70,103,164,287,407,577
2016,4,Female,14 Other circulatory,1,0,0,0,1,1,2,3,8,13,16,27,46,66,85,131,217,350,497,791
2016,4,Female,15 Intentional injuries,1,0,0,0,5,7,9,9,7,8,13,20,4,7,4,2,1,3,1,0
2016,4,Female,16 Unintentional injuries,1,2,1,1,4,4,7,8,6,6,9,13,13,21,16,28,53,84,108,126
2016,4,Female,17 Dementia and Alzheimers,0,0,0,0,0,0,0,0,0,0,2,0,1,14,36,100,263,615,"1,101","1,839"
2016,4,Female,18 All other causes,18,11,5,5,4,17,19,25,26,68,97,139,132,159,231,244,384,553,694,"1,243"
2016,4,Female,19 Neonatal,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,5,Male,01 Malignant neoplasm of liver and intrahepatic bile ducts,0,1,0,0,0,1,0,0,0,2,3,15,18,36,37,33,42,48,28,8
2016,5,Male,"02 Malignant neoplasm of colon, rectosigmoid junction and rectum (i.e.colorectal)",0,0,0,0,0,0,3,1,2,3,14,29,43,53,97,103,120,127,99,62
2016,5,Male,03 Malignant neoplasms of digestive organs except liver and intrahepatic bile ducts,0,0,0,0,0,0,1,2,2,10,25,63,67,111,177,182,216,195,151,64
2016,5,Male,"04 Malignant neoplasms of lymphoid, haematopoietic and related tissue",0,1,0,1,0,2,6,2,5,6,13,13,21,45,73,90,106,113,93,37
2016,5,Male,"05 Malignant neoplasm of trachea, bronchus and lung",0,0,0,0,1,0,0,1,3,8,18,32,80,160,221,279,318,253,164,75
2016,5,Male,06 Malignant neoplasm of prostate,0,0,0,0,0,0,0,0,0,0,1,5,8,28,66,132,174,189,218,177
2016,5,Male,07 Malignant neoplasm of breast,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1,2,3,0,0
2016,5,Male,09 All other cancers (C00-D48),0,2,0,3,1,3,6,12,12,20,43,61,123,180,228,298,306,318,254,172
2016,5,Male,10 Diseases of the respiratory system,2,2,0,1,1,5,3,7,8,17,17,41,89,128,233,363,485,679,622,673
2016,5,Male,11 Diabetes,0,0,0,1,0,1,0,2,2,3,2,7,11,12,23,27,46,52,49,34
2016,5,Male,12 Ischaemic heart disease,0,0,0,0,0,0,1,5,11,24,56,99,167,248,351,407,468,555,584,391
2016,5,Male,13 Stroke (cerebrovascular),2,0,1,1,1,0,1,6,3,8,17,30,35,37,76,135,197,254,282,269
2016,5,Male,14 Other circulatory,2,0,1,0,2,10,4,12,17,20,33,43,57,61,126,170,252,336,365,355
2016,5,Male,15 Intentional injuries,1,0,0,0,11,15,19,35,24,33,30,39,27,15,11,11,6,8,4,0
2016,5,Male,16 Unintentional injuries,1,4,1,4,17,32,23,26,24,34,32,32,28,31,34,34,61,97,85,99
2016,5,Male,17 Dementia and Alzheimers,0,0,0,0,0,0,0,0,0,0,0,2,1,12,32,97,229,462,617,636
2016,5,Male,18 All other causes,23,11,6,6,13,29,37,57,56,91,124,149,170,177,284,291,386,508,492,529
2016,5,Male,19 Neonatal,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,5,Female,01 Malignant neoplasm of liver and intrahepatic bile ducts,0,1,0,0,0,0,1,0,1,1,3,6,4,17,9,27,32,38,26,15
2016,5,Female,"02 Malignant neoplasm of colon, rectosigmoid junction and rectum (i.e.colorectal)",0,0,0,0,0,1,0,3,5,4,15,16,28,39,57,80,81,102,113,112
2016,5,Female,03 Malignant neoplasms of digestive organs except liver and intrahepatic bile ducts,0,0,0,0,0,0,2,3,4,10,8,30,43,55,117,127,152,167,164,106
2016,5,Female,"04 Malignant neoplasms of lymphoid, haematopoietic and related tissue",0,0,0,1,1,0,3,0,0,3,6,7,10,25,47,56,72,83,101,57
2016,5,Female,"05 Malignant neoplasm of trachea, bronchus and lung",0,0,0,0,0,0,0,0,4,7,12,25,69,130,179,236,213,194,133,67
2016,5,Female,07 Malignant neoplasm of breast,0,0,0,0,0,0,3,4,16,23,45,65,75,75,107,95,118,117,104,117
2016,5,Female,08 Cervical Cancer,0,0,0,0,0,0,1,5,6,4,8,8,3,3,6,4,3,11,5,2
2016,5,Female,09 All other cancers (C00-D48),1,1,1,1,5,4,5,17,14,26,52,74,108,138,246,278,308,321,287,244
2016,5,Female,10 Diseases of the respiratory system,0,3,0,0,3,4,3,3,8,9,18,29,52,96,181,283,384,603,719,"1,067"
2016,5,Female,11 Diabetes,0,0,0,0,0,0,1,3,1,1,4,2,8,10,6,24,30,43,62,84
2016,5,Female,12 Ischaemic heart disease,1,0,0,0,0,0,0,0,4,7,21,26,45,59,121,163,241,381,516,622
2016,5,Female,13 Stroke (cerebrovascular),0,0,1,1,0,1,0,5,3,6,14,24,29,27,72,118,188,325,420,585
2016,5,Female,14 Other circulatory,1,0,2,1,1,5,2,4,6,10,21,23,30,47,94,134,214,394,611,883
2016,5,Female,15 Intentional injuries,1,0,1,0,2,6,3,3,3,5,10,8,4,11,2,0,4,1,1,3
2016,5,Female,16 Unintentional injuries,0,1,0,2,6,7,5,7,3,7,13,18,14,18,21,35,55,77,121,170
2016,5,Female,17 Dementia and Alzheimers,0,0,0,0,0,0,0,0,0,0,1,0,3,12,37,111,252,645,"1,172","1,925"
2016,5,Female,18 All other causes,26,9,3,3,7,17,19,27,36,45,72,100,133,154,250,290,364,566,812,"1,410"
2016,5,Female,19 Neonatal,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,6,Male,01 Malignant neoplasm of liver and intrahepatic bile ducts,0,0,0,1,0,2,0,1,1,2,7,6,15,23,42,48,47,44,25,17
2016,6,Male,"02 Malignant neoplasm of colon, rectosigmoid junction and rectum (i.e.colorectal)",0,0,0,0,0,0,1,3,10,8,15,25,36,53,92,98,115,145,102,64
2016,6,Male,03 Malignant neoplasms of digestive organs except liver and intrahepatic bile ducts,0,0,0,0,0,0,0,1,6,11,14,46,88,124,169,212,232,206,164,81
2016,6,Male,"04 Malignant neoplasms of lymphoid, haematopoietic and related tissue",0,1,0,0,1,4,1,1,2,3,12,9,27,48,75,98,130,113,73,38
2016,6,Male,"05 Malignant neoplasm of trachea, bronchus and lung",0,0,0,0,0,0,0,0,1,7,17,41,67,114,225,276,281,262,175,84
2016,6,Male,06 Malignant neoplasm of prostate,0,0,0,0,0,0,0,0,1,0,2,3,19,34,89,116,195,238,270,207
2016,6,Male,07 Malignant neoplasm of breast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
2016,6,Male,09 All other cancers (C00-D48),0,0,4,3,2,8,7,10,10,28,38,69,115,163,272,286,326,341,269,188
2016,6,Male,10 Diseases of the respiratory system,1,0,3,1,0,2,2,3,9,7,24,30,56,104,227,334,478,621,722,706
2016,6,Male,11 Diabetes,0,0,0,0,2,0,1,0,1,1,2,9,14,10,19,14,37,41,39,55
2016,6,Male,12 Ischaemic heart disease,0,0,0,0,0,0,0,7,9,20,66,93,130,196,330,411,505,629,606,405
2016,6,Male,13 Stroke (cerebrovascular),1,0,0,0,0,1,2,2,5,3,11,28,23,47,85,120,198,308,303,262
2016,6,Male,14 Other circulatory,0,1,1,1,3,1,6,5,11,19,28,35,64,73,113,182,255,357,399,396
2016,6,Male,15 Intentional injuries,0,2,0,0,11,19,18,23,25,35,52,33,24,17,19,14,11,13,5,6
2016,6,Male,16 Unintentional injuries,0,2,1,5,14,26,34,17,23,19,34,25,31,35,21,62,56,77,107,104
2016,6,Male,17 Dementia and Alzheimers,0,0,0,0,0,0,0,0,0,0,0,2,5,8,33,101,217,485,651,718
2016,6,Male,18 All other causes,21,10,1,4,10,16,46,44,54,72,119,150,162,171,271,287,448,541,598,610
2016,6,Male,19 Neonatal,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,6,Female,01 Malignant neoplasm of liver and intrahepatic bile ducts,0,0,0,0,0,0,0,0,0,0,2,3,9,6,23,30,33,30,22,20
2016,6,Female,"02 Malignant neoplasm of colon, rectosigmoid junction and rectum (i.e.colorectal)",0,0,0,0,0,0,0,4,1,5,12,15,32,51,64,74,107,110,100,103
2016,6,Female,03 Malignant neoplasms of digestive organs except liver and intrahepatic bile ducts,0,0,0,0,0,1,0,1,5,8,17,20,56,69,96,123,159,159,157,110
2016,6,Female,"04 Malignant neoplasms of lymphoid, haematopoietic and related tissue",0,0,0,0,0,0,0,3,1,0,6,11,22,23,57,47,94,94,101,76
2016,6,Female,"05 Malignant neoplasm of trachea, bronchus and lung",0,0,0,0,0,0,0,1,0,5,15,28,62,89,207,235,222,196,157,76
2016,6,Female,07 Malignant neoplasm of breast,0,0,0,0,0,1,1,6,8,29,54,87,58,62,122,97,95,146,120,121
2016,6,Female,08 Cervical Cancer,0,0,0,0,0,0,3,1,4,4,2,8,10,5,5,4,7,10,5,3
2016,6,Female,09 All other cancers (C00-D48),0,1,1,2,4,3,7,10,13,22,38,68,120,151,243,300,321,310,298,255
2016,6,Female,10 Diseases of the respiratory system,1,2,1,1,0,1,1,6,2,13,16,26,40,79,149,255,409,603,725,"1,156"
2016,6,Female,11 Diabetes,0,0,0,0,0,0,1,1,3,1,4,3,6,6,5,11,21,49,70,80
2016,6,Female,12 Ischaemic heart disease,0,0,0,0,0,0,0,0,0,3,11,17,40,45,102,138,241,378,498,689
2016,6,Female,13 Stroke (cerebrovascular),0,0,0,0,1,0,0,2,2,5,9,22,31,32,50,108,197,343,488,703
